Date,Price,Open,High,Low,Vol.,Change %
7-Jul-20,313.78,315.38,317.52,313.37,82.91M,-1.03%
6-Jul-20,317.05,316.4,317.24,315.59,61.71M,1.54%
5-Jul-20,312.23,312.23,312.23,312.23,-,0.00%
4-Jul-20,312.23,312.23,312.23,312.23,-,0.00%
2-Jul-20,312.23,314.29,315.59,311.53,69.34M,0.55%
1-Jul-20,310.52,309.53,311.86,309.1,72.40M,0.70%
30-Jun-20,308.36,303.95,310.16,303.85,113.39M,1.28%
29-Jun-20,304.46,301.41,304.46,299.04,79.77M,1.47%
26-Jun-20,300.05,306.16,306.39,299.42,127.96M,-2.38%
25-Jun-20,307.35,303.28,307.61,301.34,89.47M,1.07%
24-Jun-20,304.09,309.78,310.48,302.13,132.81M,-2.55%
23-Jun-20,312.05,313.42,314.46,311.62,68.47M,0.46%
22-Jun-20,310.62,307.95,311.04,306.81,74.65M,0.64%
19-Jun-20,308.64,314.17,314.38,306.53,135.55M,-1.01%
18-Jun-20,311.78,309.93,312.27,309.61,80.83M,0.04%
17-Jun-20,311.66,314.04,314.37,311.04,83.40M,-0.42%
16-Jun-20,312.96,315.34,315.61,307.93,137.63M,1.92%
15-Jun-20,307.05,298.03,308.23,296.77,135.78M,0.93%
12-Jun-20,304.21,308.24,309.08,298.6,194.68M,1.20%
11-Jun-20,300.61,310.95,312.03,300.04,209.24M,-5.76%
10-Jun-20,319,321.53,322.38,318.25,95.00M,-0.56%
9-Jun-20,320.79,320.3,322.36,319.38,77.48M,-0.75%
8-Jun-20,323.2,320.22,323.27,319.63,73.64M,1.21%
7-Jun-20,319.34,319.34,319.34,319.34,-,0.00%
5-Jun-20,319.34,317.23,321.27,317.16,150.52M,2.56%
4-Jun-20,311.36,311.06,313,309.1,75.79M,-0.26%
3-Jun-20,312.18,310.33,313.16,309.96,92.57M,1.33%
2-Jun-20,308.08,306.54,308.1,305.14,74.27M,0.83%
1-Jun-20,305.55,303.6,306.2,303.07,56.78M,0.40%
29-May-20,304.32,302.46,304.96,299.47,119.27M,0.45%
28-May-20,302.97,304.76,306.8,302.29,90.77M,-0.18%
27-May-20,303.53,302.08,303.53,296.9,104.82M,1.49%
26-May-20,299.08,302.18,302.18,298.73,88.95M,1.23%
22-May-20,295.44,294.57,295.63,293.22,63.96M,0.19%
21-May-20,294.88,296.71,297.67,293.7,78.29M,-0.69%
20-May-20,296.93,295.86,297.86,295.59,85.86M,1.70%
19-May-20,291.97,294.32,296.19,291.97,95.19M,-1.03%
18-May-20,295,292.87,296.6,292.75,120.32M,3.05%
15-May-20,286.28,282.38,286.28,281.38,111.15M,0.46%
14-May-20,284.97,278.79,285.03,276.39,121.98M,1.20%
13-May-20,281.6,286.02,287.17,279,144.72M,-1.77%
12-May-20,286.67,293.79,294.24,286.52,95.87M,-1.99%
11-May-20,292.5,290.34,294,289.88,79.51M,0.02%
8-May-20,292.44,291.09,292.95,289.86,76.62M,1.65%
7-May-20,287.68,287.75,289.78,287.13,75.25M,1.21%
